18/12/08 21:26:45 INFO streaming.StreamJob: Output directory: /user/hadoop/matrix/simple/output3
[hadoop@ip-172-30-0-7 ~]$ hadoop dfs -text /user/hadoop/matrix/simple/output3/p*
DEPRECATED: Use of this script to execute hdfs command is deprecated.
Instead use the hdfs command for it.

18/12/08 21:28:21 INFO lzo.GPLNativeCodeLoader: Loaded native gpl library
18/12/08 21:28:21 INFO lzo.LzoCodec: Successfully loaded & initialized native-lzo library [hadoop-lzo rev 5f779390180acb8f1d86999c0a0294917976289f]
('0-0', 23619200.0)
('0-1', 23611940.0)
('0-10', 23546600.0)
('0-11', 23539340.0)
('0-12', 23532080.0)
('0-13', 23524820.0)
('0-14', 23517560.0)
('0-15', 23510300.0)
('0-16', 23503040.0)
('0-17', 23495780.0)
('0-18', 23488520.0)
('0-19', 23481260.0)
('0-2', 23604680.0)
('0-20', 23474000.0)
('0-21', 23466740.0)
('0-22', 23459480.0)
('0-23', 23452220.0)
('0-24', 23444960.0)
('0-25', 23437700.0)
('0-26', 23430440.0)
('0-27', 23423180.0)
('0-28', 23415920.0)
('0-29', 23408660.0)
('0-3', 23597420.0)
('0-30', 23401400.0)
('0-31', 23394140.0)
('0-32', 23386880.0)
('0-33', 23379620.0)
('0-34', 23372360.0)
('0-35', 23365100.0)
('0-36', 23357840.0)
('0-37', 23350580.0)
('0-38', 23343320.0)
('0-39', 23336060.0)
('0-4', 23590160.0)
('0-40', 23328800.0)
('0-41', 23321540.0)
('0-42', 23314280.0)
('0-43', 23307020.0)
('0-44', 23299760.0)
('0-45', 23292500.0)
('0-46', 23285240.0)
('0-47', 23277980.0)
('0-48', 23270720.0)
('0-49', 23263460.0)
('0-5', 23582900.0)
('0-50', 23256200.0)
('0-51', 23248940.0)
('0-52', 23241680.0)
('0-53', 23234420.0)
('0-54', 23227160.0)
('0-55', 23219900.0)
('0-56', 23212640.0)
('0-57', 23205380.0)
('0-58', 23198120.0)
('0-59', 23190860.0)
('0-6', 23575640.0)
('0-60', 23183600.0)
('0-61', 23176340.0)
('0-62', 23169080.0)
('0-63', 23161820.0)
('0-64', 23154560.0)
('0-65', 23147300.0)
('0-66', 23140040.0)
('0-67', 23132780.0)
('0-68', 23125520.0)
('0-69', 23118260.0)
('0-7', 23568380.0)
('0-70', 23111000.0)
('0-71', 23103740.0)
('0-72', 23096480.0)
('0-73', 23089220.0)
('0-74', 23081960.0)
('0-75', 23074700.0)
('0-76', 23067440.0)
('0-77', 23060180.0)
('0-78', 23052920.0)
('0-79', 23045660.0)
('0-8', 23561120.0)
('0-9', 23553860.0)
('1-0', 93315200.0)
('1-1', 93293540.0)
('1-10', 93098600.0)
('1-11', 93076940.0)
('1-12', 93055280.0)
('1-13', 93033620.0)
('1-14', 93011960.0)
('1-15', 92990300.0)
('1-16', 92968640.0)
('1-17', 92946980.0)
('1-18', 92925320.0)
('1-19', 92903660.0)
('1-2', 93271880.0)
('1-20', 92882000.0)
('1-21', 92860340.0)
('1-22', 92838680.0)
('1-23', 92817020.0)
('1-24', 92795360.0)
('1-25', 92773700.0)
('1-26', 92752040.0)
('1-27', 92730380.0)
('1-28', 92708720.0)
('1-29', 92687060.0)
('1-3', 93250220.0)
('1-30', 92665400.0)
('1-31', 92643740.0)
('1-32', 92622080.0)
('1-33', 92600420.0)
('1-34', 92578760.0)
('1-35', 92557100.0)
('1-36', 92535440.0)
('1-37', 92513780.0)
('1-38', 92492120.0)
('1-39', 92470460.0)
('1-4', 93228560.0)
('1-40', 92448800.0)
('1-41', 92427140.0)
('1-42', 92405480.0)
('1-43', 92383820.0)
('1-44', 92362160.0)
('1-45', 92340500.0)
('1-46', 92318840.0)
('1-47', 92297180.0)
('1-48', 92275520.0)
('1-49', 92253860.0)
('1-5', 93206900.0)
('1-50', 92232200.0)
('1-51', 92210540.0)
('1-52', 92188880.0)
('1-53', 92167220.0)
('1-54', 92145560.0)
('1-55', 92123900.0)
('1-56', 92102240.0)
('1-57', 92080580.0)
('1-58', 92058920.0)
('1-59', 92037260.0)
('1-6', 93185240.0)
('1-60', 92015600.0)
('1-61', 91993940.0)
('1-62', 91972280.0)
('1-63', 91950620.0)
('1-64', 91928960.0)
('1-65', 91907300.0)
('1-66', 91885640.0)
('1-67', 91863980.0)
('1-68', 91842320.0)
('1-69', 91820660.0)
('1-7', 93163580.0)
('1-70', 91799000.0)
('1-71', 91777340.0)
('1-72', 91755680.0)
('1-73', 91734020.0)
('1-74', 91712360.0)
('1-75', 91690700.0)
('1-76', 91669040.0)
('1-77', 91647380.0)
('1-78', 91625720.0)
('1-79', 91604060.0)
('1-8', 93141920.0)
('1-9', 93120260.0)
('10-0', 720579200.0)
('10-1', 720427940.0)
('10-10', 719066600.0)
('10-11', 718915340.0)
('10-12', 718764080.0)
('10-13', 718612820.0)
('10-14', 718461560.0)
('10-15', 718310300.0)
('10-16', 718159040.0)
('10-17', 718007780.0)
('10-18', 717856520.0)
('10-19', 717705260.0)
('10-2', 720276680.0)
('10-20', 717554000.0)
('10-21', 717402740.0)
('10-22', 717251480.0)
('10-23', 717100220.0)
('10-24', 716948960.0)
('10-25', 716797700.0)
('10-26', 716646440.0)
('10-27', 716495180.0)
('10-28', 716343920.0)
('10-29', 716192660.0)
('10-3', 720125420.0)
('10-30', 716041400.0)
('10-31', 715890140.0)
('10-32', 715738880.0)
('10-33', 715587620.0)
('10-34', 715436360.0)
('10-35', 715285100.0)
('10-36', 715133840.0)
('10-37', 714982580.0)
('10-38', 714831320.0)
('10-39', 714680060.0)
('10-4', 719974160.0)
('10-40', 714528800.0)
('10-41', 714377540.0)
('10-42', 714226280.0)
('10-43', 714075020.0)
('10-44', 713923760.0)
('10-45', 713772500.0)
('10-46', 713621240.0)
('10-47', 713469980.0)
('10-48', 713318720.0)
('10-49', 713167460.0)
('10-5', 719822900.0)
('10-50', 713016200.0)
('10-51', 712864940.0)
('10-52', 712713680.0)
('10-53', 712562420.0)
('10-54', 712411160.0)
('10-55', 712259900.0)
('10-56', 712108640.0)
('10-57', 711957380.0)
('10-58', 711806120.0)
('10-59', 711654860.0)
('10-6', 719671640.0)
('10-60', 711503600.0)
('10-61', 711352340.0)
('10-62', 711201080.0)
('10-63', 711049820.0)
('10-64', 710898560.0)
('10-65', 710747300.0)
('10-66', 710596040.0)
('10-67', 710444780.0)
('10-68', 710293520.0)
('10-69', 710142260.0)
('10-7', 719520380.0)
('10-70', 709991000.0)
('10-71', 709839740.0)
('10-72', 709688480.0)
('10-73', 709537220.0)
('10-74', 709385960.0)
('10-75', 709234700.0)
('10-76', 709083440.0)
('10-77', 708932180.0)
('10-78', 708780920.0)
('10-79', 708629660.0)
('10-8', 719369120.0)
('10-9', 719217860.0)
('11-0', 790275200.0)
('11-1', 790109540.0)
('11-10', 788618600.0)
('11-11', 788452940.0)
('11-12', 788287280.0)
('11-13', 788121620.0)
('11-14', 787955960.0)
('11-15', 787790300.0)
('11-16', 787624640.0)
('11-17', 787458980.0)
('11-18', 787293320.0)
('11-19', 787127660.0)
('11-2', 789943880.0)
('11-20', 786962000.0)
('11-21', 786796340.0)
('11-22', 786630680.0)
('11-23', 786465020.0)
('11-24', 786299360.0)
('11-25', 786133700.0)
('11-26', 785968040.0)
('11-27', 785802380.0)
('11-28', 785636720.0)
('11-29', 785471060.0)
('11-3', 789778220.0)
('11-30', 785305400.0)
('11-31', 785139740.0)
('11-32', 784974080.0)
('11-33', 784808420.0)
('11-34', 784642760.0)
('11-35', 784477100.0)
('11-36', 784311440.0)
('11-37', 784145780.0)
('11-38', 783980120.0)
('11-39', 783814460.0)
('11-4', 789612560.0)
('11-40', 783648800.0)
('11-41', 783483140.0)
('11-42', 783317480.0)
('11-43', 783151820.0)
('11-44', 782986160.0)
('11-45', 782820500.0)
('11-46', 782654840.0)
('11-47', 782489180.0)
('11-48', 782323520.0)
('11-49', 782157860.0)
('11-5', 789446900.0)
('11-50', 781992200.0)
('11-51', 781826540.0)
('11-52', 781660880.0)
('11-53', 781495220.0)
('11-54', 781329560.0)
('11-55', 781163900.0)
('11-56', 780998240.0)
('11-57', 780832580.0)
('11-58', 780666920.0)
('11-59', 780501260.0)
('11-6', 789281240.0)
('11-60', 780335600.0)
('11-61', 780169940.0)
('11-62', 780004280.0)
('11-63', 779838620.0)
('11-64', 779672960.0)
('11-65', 779507300.0)
('11-66', 779341640.0)
('11-67', 779175980.0)
('11-68', 779010320.0)
('11-69', 778844660.0)
('11-7', 789115580.0)
('11-70', 778679000.0)
('11-71', 778513340.0)
('11-72', 778347680.0)
('11-73', 778182020.0)
('11-74', 778016360.0)
('11-75', 777850700.0)
('11-76', 777685040.0)
('11-77', 777519380.0)
('11-78', 777353720.0)
('11-79', 777188060.0)
('11-8', 788949920.0)
('11-9', 788784260.0)
('12-0', 859971200.0)
('12-1', 859791140.0)
('12-10', 858170600.0)
('12-11', 857990540.0)
('12-12', 857810480.0)
('12-13', 857630420.0)
('12-14', 857450360.0)
('12-15', 857270300.0)
('12-16', 857090240.0)
('12-17', 856910180.0)
('12-18', 856730120.0)
('12-19', 856550060.0)
('12-2', 859611080.0)
('12-20', 856370000.0)
('12-21', 856189940.0)
('12-22', 856009880.0)
('12-23', 855829820.0)
('12-24', 855649760.0)
('12-25', 855469700.0)
('12-26', 855289640.0)
('12-27', 855109580.0)
('12-28', 854929520.0)
('12-29', 854749460.0)
('12-3', 859431020.0)
('12-30', 854569400.0)
('12-31', 854389340.0)
('12-32', 854209280.0)
('12-33', 854029220.0)
('12-34', 853849160.0)
('12-35', 853669100.0)
('12-36', 853489040.0)
('12-37', 853308980.0)
('12-38', 853128920.0)
('12-39', 852948860.0)
('12-4', 859250960.0)
('12-40', 852768800.0)
('12-41', 852588740.0)
('12-42', 852408680.0)
('12-43', 852228620.0)
('12-44', 852048560.0)
('12-45', 851868500.0)
('12-46', 851688440.0)
('12-47', 851508380.0)
('12-48', 851328320.0)
('12-49', 851148260.0)
('12-5', 859070900.0)
('12-50', 850968200.0)
('12-51', 850788140.0)
('12-52', 850608080.0)
('12-53', 850428020.0)
('12-54', 850247960.0)
('12-55', 850067900.0)
('12-56', 849887840.0)
('12-57', 849707780.0)
('12-58', 849527720.0)
('12-59', 849347660.0)
('12-6', 858890840.0)
('12-60', 849167600.0)
('12-61', 848987540.0)
('12-62', 848807480.0)
('12-63', 848627420.0)
('12-64', 848447360.0)
('12-65', 848267300.0)
('12-66', 848087240.0)
('12-67', 847907180.0)
('12-68', 847727120.0)
('12-69', 847547060.0)
('12-7', 858710780.0)
('12-70', 847367000.0)
('12-71', 847186940.0)
('12-72', 847006880.0)
('12-73', 846826820.0)
('12-74', 846646760.0)
('12-75', 846466700.0)
('12-76', 846286640.0)
('12-77', 846106580.0)
('12-78', 845926520.0)
('12-79', 845746460.0)
('12-8', 858530720.0)
('12-9', 858350660.0)
('13-0', 929667200.0)
('13-1', 929472740.0)
('13-10', 927722600.0)
('13-11', 927528140.0)
('13-12', 927333680.0)
('13-13', 927139220.0)
('13-14', 926944760.0)
('13-15', 926750300.0)
('13-16', 926555840.0)
('13-17', 926361380.0)
('13-18', 926166920.0)
('13-19', 925972460.0)
('13-2', 929278280.0)
('13-20', 925778000.0)
('13-21', 925583540.0)
('13-22', 925389080.0)
('13-23', 925194620.0)
('13-24', 925000160.0)
('13-25', 924805700.0)
('13-26', 924611240.0)
('13-27', 924416780.0)
('13-28', 924222320.0)
('13-29', 924027860.0)
('13-3', 929083820.0)
('13-30', 923833400.0)
('13-31', 923638940.0)
('13-32', 923444480.0)
('13-33', 923250020.0)
('13-34', 923055560.0)
('13-35', 922861100.0)
('13-36', 922666640.0)
('13-37', 922472180.0)
('13-38', 922277720.0)
('13-39', 922083260.0)
('13-4', 928889360.0)
('13-40', 921888800.0)
('13-41', 921694340.0)
('13-42', 921499880.0)
('13-43', 921305420.0)
('13-44', 921110960.0)
('13-45', 920916500.0)
('13-46', 920722040.0)
('13-47', 920527580.0)
('13-48', 920333120.0)
('13-49', 920138660.0)
('13-5', 928694900.0)
('13-50', 919944200.0)
('13-51', 919749740.0)
('13-52', 919555280.0)
('13-53', 919360820.0)
('13-54', 919166360.0)
