('0-0', 373260800.0)
('0-1', 373231880.0)
('0-10', 372971600.0)
('0-100', 370368800.0)
('0-101', 370339880.0)
('0-102', 370310960.0)
('0-103', 370282040.0)
('0-104', 370253120.0)
('0-105', 370224200.0)
('0-106', 370195280.0)
('0-107', 370166360.0)
('0-108', 370137440.0)
('0-109', 370108520.0)
('0-11', 372942680.0)
('0-110', 370079600.0)
('0-111', 370050680.0)
('0-112', 370021760.0)
('0-113', 369992840.0)
('0-114', 369963920.0)
('0-115', 369935000.0)
('0-116', 369906080.0)
('0-117', 369877160.0)
('0-118', 369848240.0)
('0-119', 369819320.0)
('0-12', 372913760.0)
('0-120', 369790400.0)
('0-121', 369761480.0)
('0-122', 369732560.0)
('0-123', 369703640.0)
('0-124', 369674720.0)
('0-125', 369645800.0)
('0-126', 369616880.0)
('0-127', 369587960.0)
('0-128', 369559040.0)
('0-129', 369530120.0)
('0-13', 372884840.0)
('0-130', 369501200.0)
('0-131', 369472280.0)
('0-132', 369443360.0)
('0-133', 369414440.0)
('0-134', 369385520.0)
('0-135', 369356600.0)
('0-136', 369327680.0)
('0-137', 369298760.0)
('0-138', 369269840.0)
('0-139', 369240920.0)
('0-14', 372855920.0)
('0-140', 369212000.0)
('0-141', 369183080.0)
('0-142', 369154160.0)
('0-143', 369125240.0)
('0-144', 369096320.0)
('0-145', 369067400.0)
('0-146', 369038480.0)
('0-147', 369009560.0)
('0-148', 368980640.0)
('0-149', 368951720.0)
('0-15', 372827000.0)
('0-150', 368922800.0)
('0-151', 368893880.0)
('0-152', 368864960.0)
('0-153', 368836040.0)
('0-154', 368807120.0)
('0-155', 368778200.0)
('0-156', 368749280.0)
('0-157', 368720360.0)
('0-158', 368691440.0)
('0-159', 368662520.0)
('0-16', 372798080.0)
('0-17', 372769160.0)
('0-18', 372740240.0)
('0-19', 372711320.0)
('0-2', 373202960.0)
('0-20', 372682400.0)
('0-21', 372653480.0)
('0-22', 372624560.0)
('0-23', 372595640.0)
('0-24', 372566720.0)
('0-25', 372537800.0)
('0-26', 372508880.0)
('0-27', 372479960.0)
('0-28', 372451040.0)
('0-29', 372422120.0)
('0-3', 373174040.0)
('0-30', 372393200.0)
('0-31', 372364280.0)
('0-32', 372335360.0)
('0-33', 372306440.0)
('0-34', 372277520.0)
('0-35', 372248600.0)
('0-36', 372219680.0)
('0-37', 372190760.0)
('0-38', 372161840.0)
('0-39', 372132920.0)
('0-4', 373145120.0)
('0-40', 372104000.0)
('0-41', 372075080.0)
('0-42', 372046160.0)
('0-43', 372017240.0)
('0-44', 371988320.0)
('0-45', 371959400.0)
('0-46', 371930480.0)
('0-47', 371901560.0)
('0-48', 371872640.0)
('0-49', 371843720.0)
('0-5', 373116200.0)
('0-50', 371814800.0)
('0-51', 371785880.0)
('0-52', 371756960.0)
('0-53', 371728040.0)
('0-54', 371699120.0)
('0-55', 371670200.0)
('0-56', 371641280.0)
('0-57', 371612360.0)
('0-58', 371583440.0)
('0-59', 371554520.0)
('0-6', 373087280.0)
('0-60', 371525600.0)
('0-61', 371496680.0)
('0-62', 371467760.0)
('0-63', 371438840.0)
('0-64', 371409920.0)
('0-65', 371381000.0)
('0-66', 371352080.0)
('0-67', 371323160.0)
('0-68', 371294240.0)
('0-69', 371265320.0)
('0-7', 373058360.0)
('0-70', 371236400.0)
('0-71', 371207480.0)
('0-72', 371178560.0)
('0-73', 371149640.0)
('0-74', 371120720.0)
('0-75', 371091800.0)
('0-76', 371062880.0)
('0-77', 371033960.0)
('0-78', 371005040.0)
('0-79', 370976120.0)
('0-8', 373029440.0)
('0-80', 370947200.0)
('0-81', 370918280.0)
('0-82', 370889360.0)
('0-83', 370860440.0)
('0-84', 370831520.0)
('0-85', 370802600.0)
('0-86', 370773680.0)
('0-87', 370744760.0)
('0-88', 370715840.0)
('0-89', 370686920.0)
('0-9', 373000520.0)
('0-90', 370658000.0)
('0-91', 370629080.0)
('0-92', 370600160.0)
('0-93', 370571240.0)
('0-94', 370542320.0)
('0-95', 370513400.0)
('0-96', 370484480.0)
('0-97', 370455560.0)
('0-98', 370426640.0)
('0-99', 370397720.0)
('1-0', 1483788800.0)
('1-1', 1483702280.0)
('1-10', 1482923600.0)
('1-100', 1475136800.0)
('1-101', 1475050280.0)
('1-102', 1474963760.0)
('1-103', 1474877240.0)
('1-104', 1474790720.0)
('1-105', 1474704200.0)
('1-106', 1474617680.0)
('1-107', 1474531160.0)
('1-108', 1474444640.0)
('1-109', 1474358120.0)
('1-11', 1482837080.0)
('1-110', 1474271600.0)
('1-111', 1474185080.0)
('1-112', 1474098560.0)
('1-113', 1474012040.0)
('1-114', 1473925520.0)
('1-115', 1473839000.0)
('1-116', 1473752480.0)
('1-117', 1473665960.0)
('1-118', 1473579440.0)
('1-119', 1473492920.0)
('1-12', 1482750560.0)
('1-120', 1473406400.0)
('1-121', 1473319880.0)
('1-122', 1473233360.0)
('1-123', 1473146840.0)
('1-124', 1473060320.0)
('1-125', 1472973800.0)
('1-126', 1472887280.0)
('1-127', 1472800760.0)
('1-128', 1472714240.0)
('1-129', 1472627720.0)
('1-13', 1482664040.0)
('1-130', 1472541200.0)
('1-131', 1472454680.0)
('1-132', 1472368160.0)
('1-133', 1472281640.0)
('1-134', 1472195120.0)
('1-135', 1472108600.0)
('1-136', 1472022080.0)
('1-137', 1471935560.0)
('1-138', 1471849040.0)
('1-139', 1471762520.0)
('1-14', 1482577520.0)
('1-140', 1471676000.0)
('1-141', 1471589480.0)
('1-142', 1471502960.0)
('1-143', 1471416440.0)
('1-144', 1471329920.0)
('1-145', 1471243400.0)
('1-146', 1471156880.0)
('1-147', 1471070360.0)
('1-148', 1470983840.0)
('1-149', 1470897320.0)
('1-15', 1482491000.0)
('1-150', 1470810800.0)
('1-151', 1470724280.0)
('1-152', 1470637760.0)
('1-153', 1470551240.0)
('1-154', 1470464720.0)
('1-155', 1470378200.0)
('1-156', 1470291680.0)
('1-157', 1470205160.0)
('1-158', 1470118640.0)
('1-159', 1470032120.0)
('1-16', 1482404480.0)
('1-17', 1482317960.0)
('1-18', 1482231440.0)
('1-19', 1482144920.0)
('1-2', 1483615760.0)
('1-20', 1482058400.0)
('1-21', 1481971880.0)
('1-22', 1481885360.0)
('1-23', 1481798840.0)
('1-24', 1481712320.0)
('1-25', 1481625800.0)
('1-26', 1481539280.0)
('1-27', 1481452760.0)
('1-28', 1481366240.0)
('1-29', 1481279720.0)
('1-3', 1483529240.0)
('1-30', 1481193200.0)
('1-31', 1481106680.0)
('1-32', 1481020160.0)
('1-33', 1480933640.0)
('1-34', 1480847120.0)
('1-35', 1480760600.0)
('1-36', 1480674080.0)
('1-37', 1480587560.0)
('1-38', 1480501040.0)
('1-39', 1480414520.0)
('1-4', 1483442720.0)
('1-40', 1480328000.0)
('1-41', 1480241480.0)
('1-42', 1480154960.0)
('1-43', 1480068440.0)
('1-44', 1479981920.0)
('1-45', 1479895400.0)
('1-46', 1479808880.0)
('1-47', 1479722360.0)
('1-48', 1479635840.0)
('1-49', 1479549320.0)
('1-5', 1483356200.0)
('1-50', 1479462800.0)
('1-51', 1479376280.0)
('1-52', 1479289760.0)
('1-53', 1479203240.0)
('1-54', 1479116720.0)
('1-55', 1479030200.0)
('1-56', 1478943680.0)
('1-57', 1478857160.0)
('1-58', 1478770640.0)
('1-59', 1478684120.0)
('1-6', 1483269680.0)
('1-60', 1478597600.0)
('1-61', 1478511080.0)
('1-62', 1478424560.0)
('1-63', 1478338040.0)
('1-64', 1478251520.0)
('1-65', 1478165000.0)
('1-66', 1478078480.0)
('1-67', 1477991960.0)
('1-68', 1477905440.0)
('1-69', 1477818920.0)
('1-7', 1483183160.0)
('1-70', 1477732400.0)
('1-71', 1477645880.0)
('1-72', 1477559360.0)
('1-73', 1477472840.0)
('1-74', 1477386320.0)
('1-75', 1477299800.0)
('1-76', 1477213280.0)
('1-77', 1477126760.0)
('1-78', 1477040240.0)
('1-79', 1476953720.0)
('1-8', 1483096640.0)
('1-80', 1476867200.0)
('1-81', 1476780680.0)
('1-82', 1476694160.0)
('1-83', 1476607640.0)
('1-84', 1476521120.0)
('1-85', 1476434600.0)
('1-86', 1476348080.0)
